Objecttype;Clustercode;Dakpartner;Betrokken Projectleider Techniek Daken;Jaar laatste dakonderhoud;Dakveiligheidsvoorzieningen aangebracht?;Bliksembeveiliging;Antenneopstelplaats
Building;25141;Cazdak;Anton Jansen;;;;GSO
Building;25142;Cazdak;Anton Jansen;;;;
Building;25143;Cazdak;Anton Jansen;;;;
Building;25144;Cazdak;Anton Jansen;;;;GSO
Building;25145;Cazdak;Anton Jansen;;;;
Building;25146;Cazdak;Anton Jansen;;;;
Building;27004;Cazdak;Anton Jansen;;;;Groendak
Building;27005;Cazdak;Anton Jansen;;Nee;;RET
Building;27012;Cazdak;Anton Jansen;;Ja;;
Building;27016;Cazdak;Anton Jansen;;;;
Building;27017;Cazdak;Anton Jansen;;;;
Building;27018;Cazdak;Anton Jansen;;;;
Building;27103;Cazdak;Anton Jansen;;;;
Building;28017;Cazdak;Anton Jansen;;;;Zonnepanelen
Building;28018;Cazdak;Anton Jansen;;;;Zonnepanelen
Building;28019;Cazdak;Anton Jansen;;;;
Building;29100;Cazdak;Anton Jansen;;;;
Building;29101;Cazdak;Anton Jansen;;;;
Building;29102;Cazdak;Anton Jansen;;;;
Building;34000;Oranjedak;Jack Robbemond;;;;
Building;35000;Oranjedak;Jack Robbemond;;;;
Building;35001;Oranjedak;Jack Robbemond;;;;
Building;35002;Oranjedak;Jack Robbemond;;;;
Building;35003;Oranjedak;Jack Robbemond;;;;
Building;35004;Oranjedak;Jack Robbemond;;;;
Building;35005;Oranjedak;Jack Robbemond;;Ja;;
Building;35006;Oranjedak;Jack Robbemond;;;;
Building;35007;Oranjedak;Jack Robbemond;;;;
Building;35008;Oranjedak;Jack Robbemond;;Ja;;
Building;35009;Oranjedak;Jack Robbemond;;;;
Building;35010;Oranjedak;Jack Robbemond;;;;
Building;35011;Oranjedak;Jack Robbemond;;;;
Building;35012;Oranjedak;Jack Robbemond;;Nee;;
Building;35013;Oranjedak;Jack Robbemond;;Ja;;GSO
Building;35014;Oranjedak;Jack Robbemond;;;;
Building;35015;Oranjedak;Jack Robbemond;;;;
Building;35016;Oranjedak;Jack Robbemond;;;;
Building;35017;Oranjedak;Jack Robbemond;;;;
Building;35019;Oranjedak;Jack Robbemond;;Nee;;
Building;35020;Oranjedak;Jack Robbemond;;;;Zonnepanelen
Building;35021;Oranjedak;Jack Robbemond;;;;
